row,c0,c1,c2,c3,c4
0,114385.15923210105,1.7589432474075109e-11,-11777.726499309263,7.0699355205904451e-12,-11696.863861945945
1,1.7589432474075109e-11,12288.542196789944,1.2853792078200404e-11,-33762.49220369567,7.3847286528415518e-12
2,-11777.726499309263,1.2853792078200404e-11,185803.97155494354,-9.7818543211641737e-12,36215.685149203986
3,7.0699355205904451e-12,-33762.49220369567,-9.7818543211641737e-12,197811.91210512322,0
4,-11696.863861945945,7.3847286528415518e-12,36215.685149203986,0,77714.853772997769
