row,c0,c1,c2,c3,c4
0,81970.314211508958,-27323.438070502965,0,1.0913936421275139e-11,-1.711650713706647e-12
1,-27323.438070502965,27323.438070502962,1.2732925824820995e-11,3.637978807091713e-12,3.6662555604816923e-12
2,0,1.2732925824820995e-11,210100.45430191315,-1.0913936421275139e-11,1.3896346441890185e-12
3,1.0913936421275139e-11,3.637978807091713e-12,-1.0913936421275139e-11,210100.45430191315,-4.0673335664485509e-12
4,-1.711650713706647e-12,3.6662555604816915e-12,1.3896346441890185e-12,-4.0673335664485509e-12,52469.94962705161
