row,c0,c1,c2,c3,c4
0,29926.666666666661,5.4974394813724667e-12,-6.5230811756583733e-13,4.5474735088646412e-13,0
1,5.4974394813724667e-12,1.5708983883527843e-27,8.6974415675444978e-13,8.6974415675445018e-13,5.8405849472896561e-13
2,-6.5230811756583733e-13,8.6974415675444978e-13,3370.7999999999993,-2.0640197152829484e-13,-2.0790738954157957e-13
3,4.5474735088646412e-13,8.6974415675445018e-13,-2.0640197152829484e-13,3370.7999999999993,-2.2737367544323206e-13
4,0,5.8405849472896561e-13,-2.0790738954157957e-13,-2.2737367544323206e-13,3040.133333333335
