row,c0,c1,c2,c3,c4
0,-250406.69920715675,0,107446.03156001084,0,69016.172326943139
1,-35507.744607752946,0,100619.36754980712,0,-53187.760013057501
2,250406.69920715675,3.0665976266909877e-11,6.5791719315526365e-12,-107446.03156001084,69016.172326943139
3,35507.744607752946,4.348444577882635e-12,6.1611593201051143e-12,-100619.36754980712,-53187.760013057501
4,-250406.69920715675,-6.1331952533819754e-11,-107446.03156001084,-1.3158343863105273e-11,69016.172326943139
5,-35507.744607752946,-8.69688915576527e-12,-100619.36754980712,-1.2322318640210229e-11,-53187.760013057501
6,250406.69920715675,9.1997928800729482e-11,-1.9737515794657901e-11,107446.03156001084,69016.172326943139
7,35507.744607752946,1.3045333733647903e-11,-1.8483477960315362e-11,100619.36754980712,-53187.760013057501
