row,c0,c1,c2,c3,c4
0,54646.876141005974,1.0038468292422721e-11,-3.2363889096079891e-12,3.637978807091713e-12,0
1,1.0038468292422721e-11,2.8685015479534575e-27,5.1810931332771952e-12,5.1810931332771984e-12,-1.7550549892630651e-12
2,-3.2363889096079891e-12,5.1810931332771952e-12,105050.22715095658,-6.4324712215060697e-12,4.9891602215245775e-12
3,3.637978807091713e-12,5.1810931332771984e-12,-6.4324712215060697e-12,105050.22715095658,3.637978807091713e-12
4,0,-1.7550549892630651e-12,4.9891602215245775e-12,3.637978807091713e-12,60656.488765922506
