theta_D_c theta_D_lab theta_p_lab theta_D_c_1 theta_D_c_2 theta_p_lab_1
1.76278 0.49073 0.648757 1.76278 2.43132 -0.648757
1.78024 0.493487 0.640203 1.78024 2.41963 -0.640203
1.79769 0.496149 0.631661 1.79769 2.40774 -0.631661
1.81514 0.498713 0.623131 1.81514 2.39564 -0.623131
1.8326 0.501174 0.614613 1.8326 2.38332 -0.614613
1.85005 0.50353 0.606106 1.85005 2.37078 -0.606106
1.8675 0.505778 0.597611 1.8675 2.35802 -0.597611
1.88496 0.507914 0.589127 1.88496 2.34502 -0.589127
1.90241 0.509934 0.580655 1.90241 2.33177 -0.580655
1.91986 0.511834 0.572194 1.91986 2.31828 -0.572194
1.93732 0.51361 0.563745 1.93732 2.30453 -0.563745
1.95477 0.515259 0.555306 1.95477 2.29051 -0.555306
1.97222 0.516776 0.546879 1.97222 2.27621 -0.546879
1.98968 0.518157 0.538463 1.98968 2.26163 -0.538463
2.00713 0.519397 0.530057 2.00713 2.24676 -0.530057
2.02458 0.520491 0.521662 2.02458 2.23159 -0.521662
2.04204 0.521435 0.513278 2.04204 2.2161 -0.513278
2.05949 0.522224 0.504904 2.05949 2.20028 -0.504904
2.07694 0.522851 0.49654 2.07694 2.18414 -0.49654
2.0944 0.523313 0.488187 2.0944 2.16764 -0.488187
2.11185 0.523604 0.479844 2.11185 2.15079 -0.479844
2.1293 0.523717 0.47151 2.1293 2.13358 -0.47151
2.14675 0.523647 0.463187 2.11598 2.14675 -0.477872
2.16421 0.523387 0.454873 2.09798 2.16421 -0.486471
2.18166 0.522932 0.446569 2.07958 2.18166 -0.495275
2.19911 0.522275 0.438275 2.06076 2.19911 -0.504292
2.21657 0.521409 0.429989 2.04151 2.21657 -0.51353
2.23402 0.520327 0.421713 2.0218 2.23402 -0.522997
2.25147 0.519022 0.413446 2.00164 2.25147 -0.532701
2.26893 0.517487 0.405188 1.98099 2.26893 -0.542651
2.28638 0.515714 0.396938 1.95984 2.28638 -0.552855
2.30383 0.513696 0.388697 1.93819 2.30383 -0.563323
2.32129 0.511424 0.380465 1.916 2.32129 -0.574065
2.33874 0.50889 0.37224 1.89327 2.33874 -0.585091
2.35619 0.506087 0.364024 1.86997 2.35619 -0.596411
2.37365 0.503005 0.355816 1.84609 2.37365 -0.608035
2.3911 0.499636 0.347616 1.82161 2.3911 -0.619975
2.40855 0.495971 0.339423 1.7965 2.40855 -0.632242
2.42601 0.492001 0.331238 1.77075 2.42601 -0.644849
2.44346 0.487717 0.32306 1.74435 2.44346 -0.657806
2.46091 0.48311 0.31489 1.71726 2.46091 -0.671126
2.47837 0.478171 0.306726 1.68947 2.47837 -0.684822
2.49582 0.47289 0.298569 1.66095 2.49582 -0.698908
2.51327 0.467257 0.290419 1.63169 2.51327 -0.713395
2.53073 0.461265 0.282276 1.60167 2.53073 -0.728298
2.54818 0.454903 0.274139 1.57086 2.54818 -0.74363
2.56563 0.448162 0.266008 1.53924 2.56563 -0.759405
2.58309 0.441034 0.257883 1.50679 2.58309 -0.775637
2.60054 0.43351 0.249764 1.4735 2.60054 -0.792339
2.61799 0.425582 0.24165 1.43933 2.61799 -0.809526
2.63545 0.417242 0.233542 1.40428 2.63545 -0.82721
2.6529 0.408482 0.22544 1.36832 2.6529 -0.845405
2.67035 0.399295 0.217342 1.33144 2.67035 -0.864123
2.68781 0.389677 0.20925 1.29362 2.68781 -0.883377
2.70526 0.37962 0.201162 1.25485 2.70526 -0.903179
2.72271 0.369122 0.193079 1.21511 2.72271 -0.923538
2.74017 0.358178 0.185001 1.17439 2.74017 -0.944465
2.75762 0.346786 0.176926 1.1327 2.75762 -0.965968
2.77507 0.334945 0.168856 1.09001 2.77507 -0.988053
2.79253 0.322656 0.16079 1.04633 2.79253 -1.01073
2.80998 0.309921 0.152727 1.00167 2.80998 -1.03399
2.82743 0.296742 0.144668 0.95602 2.82743 -1.05784
2.84489 0.283127 0.136613 0.909396 2.84489 -1.08229
2.86234 0.269081 0.12856 0.86181 2.86234 -1.10732
2.87979 0.254614 0.120511 0.81328 2.87979 -1.13293
2.89725 0.239738 0.112464 0.76383 2.89725 -1.15911
2.9147 0.224466 0.10442 0.713487 2.9147 -1.18584
2.93215 0.208814 0.096378 0.662285 2.93215 -1.21311
2.94961 0.1928 0.0883386 0.610261 2.94961 -1.24089
2.96706 0.176443 0.0803013 0.557461 2.96706 -1.26917
2.98451 0.159768 0.0722658 0.503933 2.98451 -1.2979
3.00197 0.142797 0.064232 0.449732 3.00197 -1.32707
3.01942 0.125559 0.0561997 0.394919 3.01942 -1.35663
3.03687 0.108081 0.0481687 0.339557 3.03687 -1.38654
3.05433 0.0903944 0.0401389 0.283716 3.05433 -1.41676
3.07178 0.0725313 0.03211 0.22747 3.07178 -1.44724
3.08923 0.0545252 0.0240818 0.170894 3.08923 -1.47794
3.10669 0.0364108 0.0160542 0.114069 3.10669 -1.5088
3.12414 0.0182236 0.00802702 0.0570766 3.12414 -1.53977
