true_polarization,observed_first_count,observed_second_count,observed_total_count,observed_ratio_or_asymmetry,mle,sigma_mle,ci68_low,ci68_high,ci95_low,ci95_high,at_lower_bound,at_upper_bound
0.00000000,60557.30967175,168482.64526291,229039.95493466,0.3594275813,0.0000000028,0.0067637708,0.0000000000,0.0135275416,0.0000000000,0.0264787763,true,false
0.10000000,61173.27321355,164303.34877042,225476.62198397,0.3723190895,0.0999999661,0.0133397986,0.0866416990,0.1133213220,0.0737833922,0.1260745549,false,false
0.20000000,61789.23675535,160124.05227793,221913.28903328,0.3858835439,0.1999999061,0.0131301902,0.1868513046,0.2131116992,0.1741941910,0.2256636905,false,false
0.30000000,62405.20029715,155944.75578544,218349.95608259,0.4001750491,0.2999999598,0.0129171590,0.2870643413,0.3128986743,0.2746117417,0.3252461848,false,false
0.40000000,63021.16383894,151765.45929295,214786.62313190,0.4152536693,0.3999999668,0.0127007092,0.3872808107,0.4126822454,0.3750360478,0.4248220345,false,false
0.50000000,63637.12738074,147586.16280047,211223.29018121,0.4311862723,0.4999999901,0.0124808361,0.4875007177,0.5124624079,0.4754671186,0.5243912301,false,false
0.60000000,64253.09092254,143406.86630798,207659.95723052,0.4480475209,0.5999999717,0.0122575321,0.5877240700,0.6122391537,0.5759049696,0.6239537562,false,false
0.70000000,64869.05446433,139227.56981549,204096.62427982,0.4659210424,0.6999999714,0.0120307855,0.6879508793,0.7120124714,0.6763496231,0.7235095904,false,false
0.80000000,65485.01800613,135048.27332300,200533.29132913,0.4849008165,0.7999999691,0.0118005809,0.7881811607,0.8117823458,0.7768011093,0.8230587026,false,false
0.90000000,66100.98154793,130868.97683052,196969.95837844,0.5050928276,0.8999999594,0.0115668966,0.8884149339,0.9115487571,0.8772594667,0.9226010544,false,false
1.00000000,66716.94508972,126689.68033803,193406.62542775,0.5266170450,0.9999999795,0.0056738883,0.9886522235,1.0000000000,0.9777247431,1.0000000000,false,true
