row,c0,c1,c2,c3,c4
0,114385.15923210104,1.542391578526871e-11,-9.4377385793733129e-12,-11777.726499309252,11696.863861945942
1,1.542391578526871e-11,12288.542196789949,33762.492203695692,1.0088334764917119e-11,-2.8868389995847732e-12
2,-9.4377385793733129e-12,33762.492203695692,197811.91210512322,-1.532134463058741e-11,2.2467481159677867e-12
3,-11777.726499309252,1.0088334764917119e-11,-1.532134463058741e-11,185803.97155494359,-36215.685149203986
4,11696.863861945942,-2.886838999584774e-12,2.2467481159677867e-12,-36215.685149203986,77714.853772997798
