polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,45417.98225382,106641.14539906,213.11495080,0.00000000,213.11495080,326.55955873,0.00000000,326.55955873,0.4258954842,0.0023863435,0.0000000000,0.0023863435,0.0000000000
0.10000000,45879.95491016,103995.85831786,214.19606651,2.63917360,214.21232492,322.48388846,4.70422960,322.51819808,0.4411709817,0.0024725962,0.0000322844,0.0024728070,0.0000000000
0.20000000,46341.92756651,101350.57123666,215.27175283,5.27834720,215.33645422,318.35604476,9.40845921,318.49503974,0.4572438715,0.0025640528,0.0000671865,0.0025649329,0.0000000000
0.30000000,46803.90022286,98705.28415545,216.34209073,7.91752081,216.48692191,314.17397116,14.11268881,314.49078228,0.4741782633,0.0026611884,0.0001050271,0.0026632601,0.0000000000
0.40000000,47265.87287921,96059.99707425,217.40715922,10.55669441,217.66331036,309.93547244,18.81691841,310.50615693,0.4920453292,0.0027645362,0.0001461761,0.0027683981,0.0000000000
0.50000000,47727.84553555,93414.70999304,218.46703535,13.19586801,218.86520159,305.63820114,23.52114802,306.54192926,0.5109243024,0.0028746965,0.0001910622,0.0028810388,0.0000000000
0.60000000,48189.81819190,90769.42291184,219.52179434,15.83504161,220.09217781,301.27964238,28.22537762,302.59890095,0.5309036529,0.0029923473,0.0002401835,0.0030019711,0.0000000000
0.70000000,48651.79084825,88124.13583063,220.57150960,18.47421522,221.34382186,296.85709665,32.92960723,298.67791157,0.5520824731,0.0031182573,0.0002941212,0.0031320976,0.0000000000
0.80000000,49113.76350460,85478.84874943,221.61625280,21.11338882,222.61971766,292.36766023,37.63383683,294.77984060,0.5745721219,0.0032533008,0.0003535564,0.0032724560,0.0000000000
0.90000000,49575.73616094,82833.56166822,222.65609392,23.75256242,223.91945066,287.80820292,42.33806643,290.90560933,0.5984981831,0.0033984769,0.0004192900,0.0034242444,0.0000000000
1.00000000,50037.70881729,80188.27458702,223.69110134,26.39173602,225.24260820,283.17534248,47.04229604,287.05618301,0.6240028118,0.0035549314,0.0004922689,0.0035888530,0.0000000000
