polarization,N1,N2,sigma_N1_stat,sigma_N1_tensor,sigma_N1_total,sigma_N2_stat,sigma_N2_tensor,sigma_N2_total,R,sigma_R_stat,sigma_R_tensor,sigma_R_total,covariance_T
0.00000000,1890493.17437514,502084.74610033,1374.95206257,0.00000000,1374.95206257,708.57938588,0.00000000,708.57938588,3.7652870139,0.0059779883,0.0000000000,0.0059779883,0.0000000000
0.10000000,1907725.35526537,489445.81984266,1381.20431337,107.05995403,1385.34731711,699.60404504,22.19515740,699.95603066,3.8977253006,0.0062452599,0.0002812246,0.0062515884,0.0000000000
0.20000000,1924957.53615558,476806.89358500,1387.42838956,214.11990807,1403.85357897,690.51205173,44.39031479,691.93742032,4.0371847850,0.0065307340,0.0005856056,0.0065569368,0.0000000000
0.30000000,1942189.71704581,464167.96732734,1393.62466864,321.17986210,1430.15601277,681.29873574,66.58547219,684.54480674,4.1842390121,0.0068361749,0.0009160090,0.0068972719,0.0000000000
0.40000000,1959421.89793603,451529.04106968,1399.79351975,428.23981613,1463.83442986,671.95910669,88.78062959,677.79867310,4.3395257441,0.0071635720,0.0012757483,0.0072762833,0.0000000000
0.50000000,1976654.07882625,438890.11481202,1405.93530393,535.29977016,1504.39353986,662.48782239,110.97578699,671.71849767,4.5037562071,0.0075151756,0.0016686677,0.0076982021,0.0000000000
0.60000000,1993886.25971647,426251.18855436,1412.05037436,642.35972420,1551.29374233,652.87915310,133.17094438,666.32251124,4.6777259824,0.0078935398,0.0020992444,0.0081679127,0.0000000000
0.70000000,2011118.44060670,413612.26229670,1418.13907661,749.41967823,1603.97889473,643.12694104,155.36610178,661.62745399,4.8623278948,0.0083015745,0.0025727130,0.0086910869,0.0000000000
0.80000000,2028350.62149692,400973.33603903,1424.20174887,856.47963226,1661.89890847,633.22455420,177.56125918,657.64833825,5.0585673390,0.0087426077,0.0030952197,0.0092743503,0.0000000000
0.90000000,2045582.80238714,388334.40978137,1430.23872217,963.53958630,1724.52640941,623.16483356,199.75641657,654.39822413,5.2675805977,0.0092204607,0.0036740127,0.0099254856,0.0000000000
1.00000000,2062814.98327736,375695.48352371,1436.25032055,1070.59954033,1791.36773417,612.94003257,221.95157397,651.88801547,5.4906568584,0.0097395410,0.0043176803,0.0106536858,0.0000000000
