! 2H range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.250000	6.55505   	0.250000	6.33056   	0.250000	6.4603    	0.250000	6.4603    	0.250000	6.46035   	0.250000	0.0590864 	0.250000	0.0687898 	0.250000	0.238794  	0.250000	0.332497  	0.250000	0.206229  	
0.300000	8.17033   	0.300000	7.88995   	0.300000	8.02544   	0.300000	8.02544   	0.300000	8.02549   	0.300000	0.0754969 	0.300000	0.0851842 	0.300000	0.276329  	0.300000	0.38047   	0.300000	0.239533  	
0.350000	9.96659   	0.350000	9.62406   	0.350000	9.75341   	0.350000	9.75341   	0.350000	9.75346   	0.350000	0.0945043 	0.350000	0.104862  	0.350000	0.316178  	0.350000	0.430715  	0.350000	0.275188  	
0.400000	11.9397   	0.400000	11.5289   	0.400000	11.6438   	0.400000	11.6438   	0.400000	11.6438   	0.400000	0.116032  	0.400000	0.127523  	0.400000	0.358548  	0.400000	0.483514  	0.400000	0.313367  	
0.450000	14.0839   	0.450000	13.5989   	0.450000	13.6934   	0.450000	13.6934   	0.450000	13.6935   	0.450000	0.139958  	0.450000	0.152609  	0.450000	0.403581  	0.450000	0.539075  	0.450000	0.354059  	
0.500000	16.3928   	0.500000	15.8279   	0.500000	15.898    	0.500000	15.898    	0.500000	15.8981   	0.500000	0.166149  	0.500000	0.179722  	0.500000	0.451158  	0.500000	0.597236  	0.500000	0.397309  	
0.600000	21.4824   	0.600000	20.7414   	0.600000	20.7541   	0.600000	20.7541   	0.600000	20.7541   	0.600000	0.224842  	0.600000	0.238973  	0.600000	0.553913  	0.600000	0.721384  	0.600000	0.491018  	
0.700000	27.169    	0.700000	26.2313   	0.700000	26.1777   	0.700000	26.1777   	0.700000	26.1777   	0.700000	0.291298  	0.700000	0.303785  	0.700000	0.666274  	0.700000	0.855317  	0.700000	0.59407   	
0.800000	33.4226   	0.800000	32.2686   	0.800000	32.1404   	0.800000	32.1404   	0.800000	32.1405   	0.800000	0.364946  	0.800000	0.373319  	0.800000	0.787799  	0.800000	0.998507  	0.800000	0.706006  	
0.900000	40.2207   	0.900000	38.8315   	0.900000	38.6197   	0.900000	38.6197   	0.900000	38.6198   	0.900000	0.445401  	0.900000	0.447084  	0.900000	0.91809   	0.900000	1.1505    	0.900000	0.826362  	
1.000000	47.546    	1.000000	45.9034   	1.000000	45.5979   	1.000000	45.5979   	1.000000	45.5979   	1.000000	0.532402  	1.000000	0.52478   	1.000000	1.0568    	1.000000	1.31085   	1.000000	0.954925  	
1.250000	68.0837   	1.250000	65.7306   	1.250000	65.1388   	1.250000	65.1388   	1.250000	65.1388   	1.250000	0.777482  	1.250000	0.7351    	1.250000	1.43853   	1.250000	1.74598   	1.250000	1.31052   	
1.500000	91.688    	1.500000	88.5182   	1.500000	87.5544   	1.500000	87.5544   	1.500000	87.5544   	1.500000	1.06078   	1.500000	0.967226  	1.500000	1.86819   	1.500000	2.22764   	1.500000	1.70806   	
1.750000	118.26    	1.750000	114.171   	1.750000	112.738   	1.750000	112.738   	1.750000	112.738   	1.750000	1.38143   	1.750000	1.22033   	1.750000	2.34303   	1.750000	2.75264   	1.750000	2.14245   	
2.000000	147.727   	2.000000	142.619   	2.000000	140.614   	2.000000	140.614   	2.000000	140.614   	2.000000	1.7389    	2.000000	1.49386   	2.000000	2.85328   	2.000000	3.3092    	2.000000	2.62027   	
2.250000	180.034   	2.250000	173.808   	2.250000	171.122   	2.250000	171.122   	2.250000	171.123   	2.250000	2.13281   	2.250000	1.78744   	2.250000	3.40776   	2.250000	3.90811   	2.250000	3.14058   	
2.500000	215.13    	2.500000	207.694   	2.500000	204.215   	2.500000	204.215   	2.500000	204.215   	2.500000	2.56287   	2.500000	2.10075   	2.500000	4.00569   	2.500000	4.54821   	2.500000	3.70263   	
3.000000	290.577   	3.000000	283.413   	3.000000	277.997   	3.000000	277.997   	3.000000	277.997   	3.000000	3.53041   	3.000000	2.78555   	3.000000	5.32937   	3.000000	5.94843   	3.000000	4.94965   	
3.500000	376.131   	3.500000	369.53    	3.500000	361.697   	3.500000	361.697   	3.500000	361.697   	3.500000	4.6398    	3.500000	3.54637   	3.500000	6.8202    	3.500000	7.50389   	3.500000	6.35748   	
4.000000	471.575   	4.000000	465.848   	4.000000	455.108   	4.000000	455.108   	4.000000	455.108   	4.000000	5.88964   	4.000000	4.38154   	4.000000	8.47506   	4.000000	9.21002   	4.000000	7.92321   	
4.500000	576.724   	4.500000	572.207   	4.500000	558.059   	4.500000	558.059   	4.500000	558.059   	4.500000	7.27871   	4.500000	5.28964   	4.500000	10.2915   	4.500000	11.0631   	4.500000	9.64455   	
5.000000	691.417   	5.000000	688.469   	5.000000	670.407   	5.000000	670.407   	5.000000	670.406   	5.000000	8.80595   	5.000000	6.26939   	5.000000	12.2675   	5.000000	13.0601   	5.000000	11.5195   	
5.500000	815.514   	5.500000	814.514   	5.500000	792.025   	5.500000	792.025   	5.500000	792.025   	5.500000	10.4704   	5.500000	7.31968   	5.500000	14.4012   	5.500000	15.1982   	5.500000	13.5465   	
6.000000	948.885   	6.000000	950.238   	6.000000	922.805   	6.000000	922.805   	6.000000	922.805   	6.000000	12.2713   	6.000000	8.4395    	6.000000	16.6911   	6.000000	17.4752   	6.000000	15.7241   	
6.500000	1091.42   	6.500000	1095.55   	6.500000	1062.65   	6.500000	1062.65   	6.500000	1062.65   	6.500000	14.2078   	6.500000	9.62795   	6.500000	19.136    	6.500000	19.8891   	6.500000	18.0511   	
7.000000	1243      	7.000000	1250.35   	7.000000	1211.47   	7.000000	1211.47   	7.000000	1211.47   	7.000000	16.2793   	7.000000	10.8842   	7.000000	21.7346   	7.000000	22.4379   	7.000000	20.5263   	
7.500000	1403.54   	7.500000	1414.58   	7.500000	1369.18   	7.500000	1369.18   	7.500000	1369.18   	7.500000	18.4851   	7.500000	12.2075   	7.500000	24.4858   	7.500000	25.12     	7.500000	23.1487   	
8.000000	1572.94   	8.000000	1588.17   	8.000000	1535.72   	8.000000	1535.72   	8.000000	1535.72   	8.000000	20.8247   	8.000000	13.5972   	8.000000	27.3888   	8.000000	27.934    	8.000000	25.9175   	
8.500000	1751.12   	8.500000	1771.04   	8.500000	1711.01   	8.500000	1711.01   	8.500000	1711.01   	8.500000	23.2975   	8.500000	15.0528   	8.500000	30.4426   	8.500000	30.8785   	8.500000	28.8318   	
9.000000	1937.99   	9.000000	1963.14   	9.000000	1894.99   	9.000000	1894.99   	9.000000	1894.99   	9.000000	25.9031   	9.000000	16.5737   	9.000000	33.6464   	9.000000	33.9521   	9.000000	31.8909   	
9.500000	2133.49   	9.500000	2164.41   	9.500000	2087.61   	9.500000	2087.61   	9.500000	2087.61   	9.500000	28.6409   	9.500000	18.159    	9.500000	36.9995   	9.500000	37.1538   	9.500000	35.0941   	
10.000000	2337.53   	10.000000	2374.53   	10.000000	2288.8    	10.000000	2288.8    	10.000000	2288.8    	10.000000	31.5106   	10.000000	19.8081   	10.000000	40.5011   	10.000000	40.4825   	10.000000	38.4408   	
11.000000	2771      	11.000000	2804.68   	11.000000	2716.95   	11.000000	2716.95   	11.000000	2717.03   	11.000000	37.6556   	11.000000	23.302    	11.000000	47.9539   	11.000000	47.5222   	11.000000	45.5682   	
12.000000	3237.87   	12.000000	3267.75   	12.000000	3179.26   	12.000000	3179.25   	12.000000	3179.55   	12.000000	44.3437   	12.000000	27.059    	12.000000	56.0059   	12.000000	55.0691   	12.000000	53.2746   	
13.000000	3737.69   	13.000000	3763.35   	13.000000	3675.34   	13.000000	3675.33   	13.000000	3676      	13.000000	51.5684   	13.000000	31.0731   	13.000000	64.6525   	13.000000	63.1162   	13.000000	61.5556   	
14.000000	4270      	14.000000	4291.11   	14.000000	4204.83   	14.000000	4204.81   	14.000000	4206.02   	14.000000	59.3239   	14.000000	35.3381   	14.000000	73.8891   	14.000000	71.6569   	14.000000	70.4071   	
15.000000	4834.42   	15.000000	4850.67   	15.000000	4767.36   	15.000000	4767.34   	15.000000	4769.26   	15.000000	67.604    	15.000000	39.8512   	15.000000	83.7109   	15.000000	80.6846   	15.000000	79.825    	
16.000000	5430.54   	16.000000	5441.72   	16.000000	5362.57   	16.000000	5362.55   	16.000000	5365.37   	16.000000	76.4026   	16.000000	44.6088   	16.000000	94.1131   	16.000000	90.1929   	16.000000	89.8046   	
17.000000	6058.01   	17.000000	6063.95   	17.000000	5990.09   	17.000000	5990.09   	17.000000	5994      	17.000000	85.7134   	17.000000	49.6042   	17.000000	105.09    	17.000000	100.175   	17.000000	100.341   	
18.000000	6716.5    	18.000000	6717.06   	18.000000	6649.55   	18.000000	6649.59   	18.000000	6654.81   	18.000000	95.5295   	18.000000	54.8322   	18.000000	116.637   	18.000000	110.626   	18.000000	111.43    	
19.000000	7405.67   	19.000000	7400.76   	19.000000	7340.6    	19.000000	7340.69   	19.000000	7347.45   	19.000000	105.844   	19.000000	60.2887   	19.000000	128.748   	19.000000	121.537   	19.000000	123.066   	
20.000000	8125.22   	20.000000	8114.78   	20.000000	8062.89   	20.000000	8063.03   	20.000000	8071.55   	20.000000	116.649   	20.000000	65.9694   	20.000000	141.417   	20.000000	132.902   	20.000000	135.243   	
21.000000	8874.84   	21.000000	8858.87   	21.000000	8816.03   	21.000000	8816.24   	21.000000	8826.77   	21.000000	127.937   	21.000000	71.8693   	21.000000	154.638   	21.000000	144.716   	21.000000	147.956   	
