! 1H energy loss (dE/dX) in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.000000	0.022671  	1.000000	0.0275009 	1.000000	0.0278786 	1.000000	0.0278786 	1.000000	0.0278786 	1.000000	0.0274806 	1.000000	2.02364e-05	
1.250000	0.0195772 	1.250000	0.023604  	1.250000	0.0239716 	1.250000	0.0239716 	1.250000	0.0239716 	1.250000	0.0235874 	1.250000	1.66433e-05	
1.500000	0.0172724 	1.500000	0.0207725 	1.500000	0.0211379 	1.500000	0.0211379 	1.500000	0.0211379 	1.500000	0.0207584 	1.500000	1.41786e-05	
1.750000	0.0154832 	1.750000	0.0186024 	1.750000	0.0189664 	1.750000	0.0189664 	1.750000	0.0189664 	1.750000	0.0185901 	1.750000	1.23772e-05	
2.000000	0.0140509 	2.000000	0.0168771 	2.000000	0.0172388 	2.000000	0.0172388 	2.000000	0.0172388 	2.000000	0.0168661 	2.000000	1.09999e-05	
2.250000	0.0128764 	2.250000	0.0154677 	2.250000	0.015826  	2.250000	0.015826  	2.250000	0.015826  	2.250000	0.0154577 	2.250000	9.91088e-06	
2.500000	0.0118434 	2.500000	0.0142919 	2.500000	0.0146459 	2.500000	0.0146459 	2.500000	0.0146459 	2.500000	0.0142829 	2.500000	9.02701e-06	
3.000000	0.0103414 	3.000000	0.0124364 	3.000000	0.0127797 	3.000000	0.0127797 	3.000000	0.0127797 	3.000000	0.0124288 	3.000000	7.67712e-06	
3.500000	0.00920149	3.500000	0.0110336 	3.500000	0.0113649 	3.500000	0.0113649 	3.500000	0.0113649 	3.500000	0.0110269 	3.500000	6.69244e-06	
4.000000	0.0083043 	4.000000	0.00993236	4.000000	0.0102516 	4.000000	0.0102516 	4.000000	0.0102516 	4.000000	0.00992642	4.000000	5.94081e-06	
4.500000	0.00757829	4.500000	0.00904305	4.500000	0.00935043	4.500000	0.00935043	4.500000	0.00935043	4.500000	0.0090377 	4.500000	5.34731e-06	
5.000000	0.00697778	5.000000	0.00830865	5.000000	0.00860474	5.000000	0.00860474	5.000000	0.00860474	5.000000	0.00830378	5.000000	4.86618e-06	
5.500000	0.00647218	5.500000	0.00769113	5.500000	0.00797658	5.500000	0.00797658	5.500000	0.00797658	5.500000	0.00768666	5.500000	4.46789e-06	
6.000000	0.0060402 	6.000000	0.0071641 	6.000000	0.00743958	6.000000	0.00743958	6.000000	0.00743959	6.000000	0.00715997	6.000000	4.13246e-06	
6.500000	0.00566653	6.500000	0.00670865	6.500000	0.0069748 	6.500000	0.0069748 	6.500000	0.00697481	6.500000	0.0067048 	6.500000	3.84591e-06	
7.000000	0.00533988	7.000000	0.00631083	7.000000	0.00656827	7.000000	0.00656827	7.000000	0.00656828	7.000000	0.00630723	7.000000	3.59813e-06	
7.500000	0.00505174	7.500000	0.00596014	7.500000	0.00620945	7.500000	0.00620945	7.500000	0.00620945	7.500000	0.00595676	7.500000	3.38166e-06	
8.000000	0.00479553	8.000000	0.00564851	8.000000	0.00589021	8.000000	0.00589021	8.000000	0.00589022	8.000000	0.00564532	8.000000	3.19083e-06	
8.500000	0.00456612	8.500000	0.00536964	8.500000	0.00560421	8.500000	0.00560421	8.500000	0.00560422	8.500000	0.00536661	8.500000	3.02128e-06	
9.000000	0.00435944	9.000000	0.0051185 	9.000000	0.0053464 	9.000000	0.0053464 	9.000000	0.0053464 	9.000000	0.00511563	9.000000	2.86959e-06	
9.500000	0.0041722 	9.500000	0.00489109	9.500000	0.00511272	9.500000	0.00511272	9.500000	0.00511272	9.500000	0.00488836	9.500000	2.73304e-06	
10.000000	0.00400173	10.000000	0.00486884	10.000000	0.00489985	10.000000	0.00489985	10.000000	0.00489985	10.000000	0.00486623	10.000000	2.60943e-06	
11.000000	0.00370267	11.000000	0.00450781	11.000000	0.00452187	11.000000	0.00452191	11.000000	0.00452038	11.000000	0.00450542	11.000000	2.39425e-06	
12.000000	0.00344868	12.000000	0.00420018	12.000000	0.00420139	12.000000	0.00420146	12.000000	0.00419885	12.000000	0.00419796	12.000000	2.21318e-06	
13.000000	0.00323014	13.000000	0.00393476	13.000000	0.00392623	13.000000	0.00392627	13.000000	0.00392281	13.000000	0.0039327 	13.000000	2.0586e-06	
14.000000	0.00303996	14.000000	0.00370331	14.000000	0.00368739	14.000000	0.00368738	14.000000	0.0036832 	14.000000	0.00370139	14.000000	1.92502e-06	
15.000000	0.00287289	15.000000	0.00349962	15.000000	0.00347806	15.000000	0.00347806	15.000000	0.00347325	15.000000	0.00349781	15.000000	1.80839e-06	
16.000000	0.00272486	16.000000	0.00331892	16.000000	0.0032932 	16.000000	0.00329317	16.000000	0.00328781	16.000000	0.00331721	16.000000	1.70563e-06	
17.000000	0.00259275	17.000000	0.00315746	17.000000	0.00312883	17.000000	0.00312868	17.000000	0.00312285	17.000000	0.00315584	17.000000	1.61437e-06	
18.000000	0.00247408	18.000000	0.00301228	18.000000	0.00298165	18.000000	0.00298144	18.000000	0.00297519	18.000000	0.00301075	18.000000	1.53276e-06	
19.000000	0.00236685	19.000000	0.00288101	19.000000	0.0028491 	19.000000	0.0028489 	19.000000	0.00284227	19.000000	0.00287955	19.000000	1.45933e-06	
20.000000	0.00226947	20.000000	0.0027617 	20.000000	0.00272921	20.000000	0.002729  	20.000000	0.00272205	20.000000	0.00276031	20.000000	1.39289e-06	
21.000000	0.0021806 	21.000000	0.00265278	21.000000	0.00262029	21.000000	0.00262006	21.000000	0.00261281	21.000000	0.00265145	21.000000	1.33247e-06	
22.000000	0.00209916	22.000000	0.00255292	22.000000	0.00252089	22.000000	0.00252068	22.000000	0.00251316	22.000000	0.00255165	22.000000	1.27728e-06	
23.000000	0.00202424	23.000000	0.00246103	23.000000	0.0024299 	23.000000	0.00242968	23.000000	0.00242192	23.000000	0.0024598 	23.000000	1.22666e-06	
24.000000	0.00195506	24.000000	0.00237616	24.000000	0.0023464 	24.000000	0.00234609	24.000000	0.00233811	24.000000	0.00237498	24.000000	1.18007e-06	
25.000000	0.00189099	25.000000	0.00229753	25.000000	0.00226952	25.000000	0.00226908	25.000000	0.00226089	25.000000	0.0022964 	25.000000	1.13702e-06	
27.000000	0.00177601	27.000000	0.00215641	27.000000	0.00213257	27.000000	0.00213201	27.000000	0.00212347	27.000000	0.00215535	27.000000	1.06004e-06	
29.000000	0.00167571	29.000000	0.0020333 	29.000000	0.00201445	29.000000	0.0020139 	29.000000	0.00200506	29.000000	0.00203231	29.000000	9.93207e-07	
31.000000	0.00158741	31.000000	0.00192491	31.000000	0.00190982	31.000000	0.00190926	31.000000	0.0019006 	31.000000	0.00192398	31.000000	9.34602e-07	
33.000000	0.00150904	33.000000	0.00182873	33.000000	0.00181529	33.000000	0.00181477	33.000000	0.00180666	33.000000	0.00182785	33.000000	8.8278e-07	
35.000000	0.00143898	35.000000	0.00174276	35.000000	0.00173071	35.000000	0.00173024	35.000000	0.00172262	35.000000	0.00174193	35.000000	8.36612e-07	
38.000000	0.00134674	38.000000	0.00162964	38.000000	0.00161953	38.000000	0.0016189 	38.000000	0.00161191	38.000000	0.00162887	38.000000	7.7607e-07	
41.000000	0.00126707	41.000000	0.00153199	41.000000	0.00152331	41.000000	0.00152267	41.000000	0.0015162 	41.000000	0.00153126	41.000000	7.23999e-07	
44.000000	0.00119752	44.000000	0.0014468 	44.000000	0.00143921	44.000000	0.00143862	44.000000	0.00143261	44.000000	0.00144612	44.000000	6.78718e-07	
47.000000	0.00113623	47.000000	0.0013718 	47.000000	0.0013651 	47.000000	0.00136454	47.000000	0.00135893	47.000000	0.00137116	47.000000	6.38966e-07	
50.000000	0.0010818 	50.000000	0.00130524	50.000000	0.00129927	50.000000	0.00129874	50.000000	0.00129347	50.000000	0.00130463	50.000000	6.03776e-07	
55.000000	0.00100339	55.000000	0.00120949	55.000000	0.00120444	55.000000	0.00120395	55.000000	0.00119917	55.000000	0.00120894	55.000000	5.53296e-07	
60.000000	0.000937192	60.000000	0.00112878	60.000000	0.00112442	60.000000	0.00112394	60.000000	0.00111957	60.000000	0.00112827	60.000000	5.10878e-07	
65.000000	0.000880503	65.000000	0.00105979	65.000000	0.00105603	65.000000	0.00105546	65.000000	0.00105142	65.000000	0.00105932	65.000000	4.74712e-07	
70.000000	0.000831375	70.000000	0.00100012	70.000000	0.000996665	70.000000	0.000996148	70.000000	0.000992396	70.000000	0.000999676	70.000000	4.43498e-07	
75.000000	0.00078836	75.000000	0.000947972	75.000000	0.000944751	75.000000	0.000944262	75.000000	0.000940757	75.000000	0.000947555	75.000000	4.16271e-07	
80.000000	0.000750362	80.000000	0.000901996	80.000000	0.000898934	80.000000	0.000898473	80.000000	0.000895184	80.000000	0.000901604	80.000000	3.92307e-07	
85.000000	0.000716534	85.000000	0.000861147	85.000000	0.000858191	85.000000	0.000857755	85.000000	0.000854654	85.000000	0.000860776	85.000000	3.71044e-07	
90.000000	0.00068621	90.000000	0.000824604	90.000000	0.000821718	90.000000	0.0008213 	90.000000	0.000818366	90.000000	0.000824252	90.000000	3.52047e-07	
95.000000	0.000658861	95.000000	0.000791713	95.000000	0.000788962	95.000000	0.000788465	95.000000	0.000785681	95.000000	0.000791378	95.000000	3.34966e-07	
100.000000	0.00063406	100.000000	0.000761948	100.000000	0.000759208	100.000000	0.000758733	100.000000	0.000756082	100.000000	0.000761629	100.000000	3.19522e-07	
105.000000	0.000611458	105.000000	0.00073488	105.000000	0.000732133	105.000000	0.000731679	105.000000	0.000729148	105.000000	0.000734574	105.000000	3.05489e-07	
110.000000	0.000590769	110.000000	0.000710154	110.000000	0.000707391	110.000000	0.000706954	110.000000	0.000704532	110.000000	0.000709861	110.000000	2.92679e-07	
115.000000	0.000571755	115.000000	0.000687477	115.000000	0.000684688	115.000000	0.000684267	115.000000	0.000681944	115.000000	0.000687196	115.000000	2.80937e-07	
120.000000	0.000554214	120.000000	0.000666601	120.000000	0.000663781	120.000000	0.000663375	120.000000	0.000661142	120.000000	0.000666331	120.000000	2.70134e-07	
125.000000	0.000537978	125.000000	0.000647319	125.000000	0.000644465	125.000000	0.000644071	125.000000	0.000641921	125.000000	0.000647059	125.000000	2.60159e-07	
