! 2H energy loss (dE/dX) in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.000000	0.0226719 	1.000000	0.0275022 	1.000000	0.02788   	1.000000	0.02788   	1.000000	0.02788   	1.000000	0.0274806 	1.000000	2.16e-05  	
1.250000	0.019578  	1.250000	0.0236051 	1.250000	0.0239727 	1.250000	0.0239727 	1.250000	0.0239727 	1.250000	0.0235874 	1.250000	1.77342e-05	
1.500000	0.0172731 	1.500000	0.0207734 	1.500000	0.0211388 	1.500000	0.0211388 	1.500000	0.0211388 	1.500000	0.0207584 	1.500000	1.50877e-05	
1.750000	0.0154838 	1.750000	0.0186032 	1.750000	0.0189672 	1.750000	0.0189672 	1.750000	0.0189672 	1.750000	0.0185901 	1.750000	1.31564e-05	
2.000000	0.0140514 	2.000000	0.0168778 	2.000000	0.0172395 	2.000000	0.0172395 	2.000000	0.0172395 	2.000000	0.0168661 	2.000000	1.16817e-05	
2.250000	0.0128768 	2.250000	0.0154683 	2.250000	0.0158266 	2.250000	0.0158266 	2.250000	0.0158266 	2.250000	0.0154577 	2.250000	1.05169e-05	
2.500000	0.0118434 	2.500000	0.0142924 	2.500000	0.0146464 	2.500000	0.0146464 	2.500000	0.0146464 	2.500000	0.0142829 	2.500000	9.57244e-06	
3.000000	0.0103414 	3.000000	0.0124369 	3.000000	0.0127802 	3.000000	0.0127802 	3.000000	0.0127802 	3.000000	0.0124288 	3.000000	8.13165e-06	
3.500000	0.00920149	3.500000	0.011034  	3.500000	0.0113653 	3.500000	0.0113653 	3.500000	0.0113653 	3.500000	0.0110269 	3.500000	7.08203e-06	
4.000000	0.0083043 	4.000000	0.0099327 	4.000000	0.0102519 	4.000000	0.0102519 	4.000000	0.0102519 	4.000000	0.00992642	4.000000	6.28171e-06	
4.500000	0.00757829	4.500000	0.00904335	4.500000	0.00935073	4.500000	0.00935073	4.500000	0.00935073	4.500000	0.0090377 	4.500000	5.65033e-06	
5.000000	0.00697778	5.000000	0.00830892	5.000000	0.00860501	5.000000	0.00860501	5.000000	0.00860502	5.000000	0.00830378	5.000000	5.1389e-06	
5.500000	0.00647218	5.500000	0.00769138	5.500000	0.00797683	5.500000	0.00797683	5.500000	0.00797683	5.500000	0.00768666	5.500000	4.71582e-06	
6.000000	0.0060402 	6.000000	0.00716433	6.000000	0.00743981	6.000000	0.00743981	6.000000	0.00743981	6.000000	0.00715997	6.000000	4.35973e-06	
6.500000	0.00566653	6.500000	0.00670886	6.500000	0.00697501	6.500000	0.00697501	6.500000	0.00697502	6.500000	0.0067048 	6.500000	4.05569e-06	
7.000000	0.00533988	7.000000	0.00631102	7.000000	0.00656847	7.000000	0.00656847	7.000000	0.00656847	7.000000	0.00630723	7.000000	3.79293e-06	
7.500000	0.00505174	7.500000	0.00596032	7.500000	0.00620963	7.500000	0.00620963	7.500000	0.00620963	7.500000	0.00595676	7.500000	3.56347e-06	
8.000000	0.00479553	8.000000	0.00564868	8.000000	0.00589038	8.000000	0.00589038	8.000000	0.00589039	8.000000	0.00564532	8.000000	3.36128e-06	
8.500000	0.00456612	8.500000	0.0053698 	8.500000	0.00560437	8.500000	0.00560437	8.500000	0.00560438	8.500000	0.00536661	8.500000	3.1817e-06	
9.000000	0.00435944	9.000000	0.00511865	9.000000	0.00534655	9.000000	0.00534655	9.000000	0.00534656	9.000000	0.00511563	9.000000	3.0211e-06	
9.500000	0.0041722 	9.500000	0.00489124	9.500000	0.00511286	9.500000	0.00511286	9.500000	0.00511286	9.500000	0.00488836	9.500000	2.87657e-06	
10.000000	0.00400173	10.000000	0.00486897	10.000000	0.00489999	10.000000	0.00489999	10.000000	0.00489999	10.000000	0.00486623	10.000000	2.74579e-06	
11.000000	0.00370267	11.000000	0.00450794	11.000000	0.004522  	11.000000	0.00452203	11.000000	0.00452051	11.000000	0.00450542	11.000000	2.51822e-06	
12.000000	0.00344868	12.000000	0.00420029	12.000000	0.0042015 	12.000000	0.00420157	12.000000	0.00419897	12.000000	0.00419796	12.000000	2.32681e-06	
13.000000	0.00323014	13.000000	0.00393486	13.000000	0.00392633	13.000000	0.00392638	13.000000	0.00392292	13.000000	0.0039327 	13.000000	2.16349e-06	
14.000000	0.00303996	14.000000	0.00370341	14.000000	0.00368748	14.000000	0.00368748	14.000000	0.00368329	14.000000	0.00370139	14.000000	2.02242e-06	
15.000000	0.00287289	15.000000	0.00349971	15.000000	0.00347815	15.000000	0.00347815	15.000000	0.00347334	15.000000	0.00349781	15.000000	1.8993e-06	
16.000000	0.00272486	16.000000	0.003319  	16.000000	0.00329329	16.000000	0.00329325	16.000000	0.0032879 	16.000000	0.00331721	16.000000	1.79085e-06	
17.000000	0.00259275	17.000000	0.00315754	17.000000	0.00312891	17.000000	0.00312876	17.000000	0.00312293	17.000000	0.00315584	17.000000	1.69458e-06	
18.000000	0.00247408	18.000000	0.00301236	18.000000	0.00298172	18.000000	0.00298152	18.000000	0.00297526	18.000000	0.00301075	18.000000	1.60852e-06	
19.000000	0.00236685	19.000000	0.00288108	19.000000	0.00284918	19.000000	0.00284897	19.000000	0.00284235	19.000000	0.00287955	19.000000	1.5311e-06	
20.000000	0.00226947	20.000000	0.00276177	20.000000	0.00272928	20.000000	0.00272907	20.000000	0.00272212	20.000000	0.00276031	20.000000	1.46107e-06	
21.000000	0.0021806 	21.000000	0.00265285	21.000000	0.00262035	21.000000	0.00262013	21.000000	0.00261287	21.000000	0.00265145	21.000000	1.3974e-06	
22.000000	0.00209916	22.000000	0.00255299	22.000000	0.00252095	22.000000	0.00252074	22.000000	0.00251322	22.000000	0.00255165	22.000000	1.33926e-06	
23.000000	0.00202424	23.000000	0.00246108	23.000000	0.00242996	23.000000	0.00242974	23.000000	0.00242198	23.000000	0.0024598 	23.000000	1.28595e-06	
24.000000	0.00195506	24.000000	0.00237622	24.000000	0.00234646	24.000000	0.00234615	24.000000	0.00233817	24.000000	0.00237498	24.000000	1.23688e-06	
25.000000	0.00189099	25.000000	0.00229759	25.000000	0.00226957	25.000000	0.00226913	25.000000	0.00226095	25.000000	0.0022964 	25.000000	1.19156e-06	
27.000000	0.00177601	27.000000	0.00215646	27.000000	0.00213262	27.000000	0.00213206	27.000000	0.00212353	27.000000	0.00215535	27.000000	1.11055e-06	
29.000000	0.00167571	29.000000	0.00203335	29.000000	0.0020145 	29.000000	0.00201395	29.000000	0.00200511	29.000000	0.00203231	29.000000	1.04023e-06	
31.000000	0.00158741	31.000000	0.00192496	31.000000	0.00190986	31.000000	0.00190931	31.000000	0.00190064	31.000000	0.00192398	31.000000	9.78589e-07	
33.000000	0.00150904	33.000000	0.00182877	33.000000	0.00181533	33.000000	0.00181481	33.000000	0.0018067 	33.000000	0.00182785	33.000000	9.24101e-07	
35.000000	0.00143898	35.000000	0.0017428 	35.000000	0.00173075	35.000000	0.00173028	35.000000	0.00172266	35.000000	0.00174193	35.000000	8.75572e-07	
38.000000	0.00134674	38.000000	0.00162968	38.000000	0.00161956	38.000000	0.00161893	38.000000	0.00161194	38.000000	0.00162887	38.000000	8.11954e-07	
41.000000	0.00126707	41.000000	0.00153202	41.000000	0.00152335	41.000000	0.0015227 	41.000000	0.00151624	41.000000	0.00153126	41.000000	7.57257e-07	
44.000000	0.00119752	44.000000	0.00144683	44.000000	0.00143924	44.000000	0.00143865	44.000000	0.00143264	44.000000	0.00144612	44.000000	7.09709e-07	
47.000000	0.00113623	47.000000	0.00137182	47.000000	0.00136513	47.000000	0.00136457	47.000000	0.00135896	47.000000	0.00137116	47.000000	6.67979e-07	
50.000000	0.0010818 	50.000000	0.00130527	50.000000	0.00129929	50.000000	0.00129877	50.000000	0.0012935 	50.000000	0.00130463	50.000000	6.31048e-07	
55.000000	0.00100339	55.000000	0.00120951	55.000000	0.00120446	55.000000	0.00120398	55.000000	0.0011992 	55.000000	0.00120894	55.000000	5.78089e-07	
60.000000	0.000937192	60.000000	0.0011288 	60.000000	0.00112445	60.000000	0.00112397	60.000000	0.00111959	60.000000	0.00112827	60.000000	5.33604e-07	
65.000000	0.000880503	65.000000	0.00105982	65.000000	0.00105605	65.000000	0.00105548	65.000000	0.00105144	65.000000	0.00105932	65.000000	4.95691e-07	
70.000000	0.000831375	70.000000	0.00100014	70.000000	0.000996684	70.000000	0.000996168	70.000000	0.000992415	70.000000	0.000999676	70.000000	4.62977e-07	
75.000000	0.00078836	75.000000	0.00094799	75.000000	0.000944769	75.000000	0.00094428	75.000000	0.000940776	75.000000	0.000947555	75.000000	4.34453e-07	
80.000000	0.000750362	80.000000	0.000902013	80.000000	0.000898951	80.000000	0.00089849	80.000000	0.000895201	80.000000	0.000901604	80.000000	4.09352e-07	
85.000000	0.000716534	85.000000	0.000861163	85.000000	0.000858207	85.000000	0.000857771	85.000000	0.00085467	85.000000	0.000860776	85.000000	3.87087e-07	
90.000000	0.00068621	90.000000	0.000824619	90.000000	0.000821734	90.000000	0.000821315	90.000000	0.000818381	90.000000	0.000824252	90.000000	3.67198e-07	
95.000000	0.000658861	95.000000	0.000791727	95.000000	0.000788976	95.000000	0.00078848	95.000000	0.000785695	95.000000	0.000791378	95.000000	3.49319e-07	
100.000000	0.00063406	100.000000	0.000761962	100.000000	0.000759222	100.000000	0.000758747	100.000000	0.000756095	100.000000	0.000761629	100.000000	3.33158e-07	
105.000000	0.000611458	105.000000	0.000734893	105.000000	0.000732146	105.000000	0.000731692	105.000000	0.000729161	105.000000	0.000734574	105.000000	3.18476e-07	
110.000000	0.000590769	110.000000	0.000710166	110.000000	0.000707404	110.000000	0.000706966	110.000000	0.000704544	110.000000	0.000709861	110.000000	3.05075e-07	
115.000000	0.000571755	115.000000	0.000687488	115.000000	0.0006847 	115.000000	0.000684279	115.000000	0.000681956	115.000000	0.000687196	115.000000	2.92795e-07	
120.000000	0.000554214	120.000000	0.000666612	120.000000	0.000663792	120.000000	0.000663386	120.000000	0.000661154	120.000000	0.000666331	120.000000	2.81497e-07	
125.000000	0.000537978	125.000000	0.00064733	125.000000	0.000644476	125.000000	0.000644082	125.000000	0.000641932	125.000000	0.000647059	125.000000	2.71068e-07	
130.000000	0.000522902	130.000000	0.000629464	130.000000	0.000626572	130.000000	0.000626191	130.000000	0.000624117	130.000000	0.000629203	130.000000	2.6141e-07	
135.000000	0.000508864	135.000000	0.000612863	135.000000	0.000609923	135.000000	0.000609562	135.000000	0.000607559	135.000000	0.000612611	135.000000	2.52439e-07	
140.000000	0.000495758	140.000000	0.000597397	140.000000	0.000594453	140.000000	0.000594066	140.000000	0.000592129	140.000000	0.000597153	140.000000	2.44084e-07	
145.000000	0.00048349	145.000000	0.000582951	145.000000	0.000580013	145.000000	0.00057959	145.000000	0.000577714	145.000000	0.000582715	145.000000	2.36283e-07	
150.000000	0.000471982	150.000000	0.000569428	150.000000	0.000566447	150.000000	0.000566037	150.000000	0.000564217	150.000000	0.000569199	150.000000	2.28982e-07	
155.000000	0.000455778	155.000000	0.000556742	155.000000	0.000553716	155.000000	0.000553321	155.000000	0.000551554	155.000000	0.00055652	155.000000	2.22134e-07	
160.000000	0.00044628	160.000000	0.000544816	160.000000	0.000541754	160.000000	0.000541367	160.000000	0.000539649	160.000000	0.0005446 	160.000000	2.15697e-07	
165.000000	0.000437323	165.000000	0.000533585	165.000000	0.000530485	165.000000	0.000530108	165.000000	0.000528436	165.000000	0.000533375	165.000000	2.09635e-07	
170.000000	0.000428862	170.000000	0.000522988	170.000000	0.000519854	170.000000	0.000519485	170.000000	0.000517856	170.000000	0.000522784	170.000000	2.03916e-07	
175.000000	0.000420857	175.000000	0.000512974	175.000000	0.000509806	175.000000	0.000509446	175.000000	0.000507858	175.000000	0.000512775	175.000000	1.98512e-07	
180.000000	0.00041327	180.000000	0.000503495	180.000000	0.000500296	180.000000	0.000499944	180.000000	0.000498394	180.000000	0.000503302	180.000000	1.93395e-07	
185.000000	0.000406069	185.000000	0.00049451	185.000000	0.000491283	185.000000	0.000490937	185.000000	0.000489423	185.000000	0.000494322	185.000000	1.88545e-07	
190.000000	0.000399226	190.000000	0.000485981	190.000000	0.000482728	190.000000	0.000482387	190.000000	0.000480908	190.000000	0.000485798	190.000000	1.83941e-07	
195.000000	0.000392714	195.000000	0.000477875	195.000000	0.000474591	195.000000	0.000474262	195.000000	0.000472815	195.000000	0.000477695	195.000000	1.79563e-07	
200.000000	0.000386509	200.000000	0.000470159	200.000000	0.00046685	200.000000	0.000466529	200.000000	0.000465113	200.000000	0.000469984	200.000000	1.75396e-07	
210.000000	0.000374937	210.000000	0.000455795	210.000000	0.000452493	210.000000	0.000452135	210.000000	0.000450777	210.000000	0.000455627	210.000000	1.67635e-07	
220.000000	0.00036436	220.000000	0.000442696	220.000000	0.00043937	220.000000	0.000439013	220.000000	0.000437706	220.000000	0.000442536	220.000000	1.60553e-07	
230.000000	0.000354656	230.000000	0.000430703	230.000000	0.000427345	230.000000	0.000427002	230.000000	0.000425742	230.000000	0.000430549	230.000000	1.54064e-07	
240.000000	0.000345718	240.000000	0.000419682	240.000000	0.000416302	240.000000	0.000415969	240.000000	0.000414752	240.000000	0.000419534	240.000000	1.48096e-07	
