row,c0,c1,c2
0,140241.29530264001,-4.0423048506206265e-11,-6.706436164769467e-12
1,-4.0423048506206265e-11,0,3.1986483806454352e-11
2,-6.706436164769467e-12,3.1986483806454352e-11,619520.79839519446
