row,c0,c1,c2,c3,c4
0,29926.666666666661,5.4974394813724667e-12,0,0,0
1,5.4974394813724667e-12,0,0,0,0
2,0,0,3370.7999999999993,0,0
3,0,0,0,3370.7999999999993,0
4,0,0,0,0,0
